paper,jel
"w0897","321"
"w0897","E"
"w0898","130"
"w0898","E"
"w0899","831"
"w0899","F"
"w0899","J"
"w0899","411"
"w0900","130"
"w0900","E"
"w0901","431"
"w0901","F"
"w0902","820"
"w0902","J"
"w0902","020"
"w0904","F"
"w0904","431"
"w0905","300"
"w0905","E"
"w0905","130"
"w0906","310"
"w0906","E"
"w0907","913"
"w0907","H"
"w0908","620"
"w0908","L"
"w0909","F"
"w0909","431"
"w0910","915"
"w0910","521"
"w0910","G"
"w0910","H"
"w0911","320"
"w0911","E"
"w0913","824"
"w0913","211"
"w0913","C"
"w0913","J"
"w0915","311"
"w0915","E"
"w0917","311"
"w0917","E"
"w0918","313"
"w0918","E"
"w0921","H"
"w0921","F"
"w0921","431"
"w0921","921"
"w0923","F"
"w0923","430"
"w0925","F"
"w0925","431"
"w0928","J"
"w0928","820"
"w0929","H"
"w0929","932"
"w0929","E"
"w0929","323"
"w0930","918"
"w0930","H"
"w0930","022"
"w0931","621"
"w0931","L"
"w0934","321"
"w0934","E"
"w0936","310"
"w0936","E"
"w0938","520"
"w0938","310"
"w0938","E"
"w0938","G"
"w0940","813"
"w0940","824"
"w0940","J"
"w0943","134"
"w0943","E"
"w0945","131"
"w0945","E"
"w0945","313"
"w0946","830"
"w0946","913"
"w0946","J"
"w0946","H"
"w0947","F"
"w0947","441"
"w0948","313"
"w0948","E"
"w0949","F"
"w0949","431"
"w0950","F"
"w0951","323"
"w0951","E"
"w0953","822"
"w0953","613"
"w0953","L"
"w0953","J"
"w0954","E"
"w0954","324"
"w0954","022"
"w0955","323"
"w0955","E"
"w0957","E"
"w0957","313"
"w0958","311"
"w0958","E"
"w0958","313"
"w0959","430"
"w0959","441"
"w0959","F"
"w0960","F"
"w0960","431"
"w0962","915"
"w0962","H"
"w0963","431"
"w0963","F"
"w0964","E"
"w0964","320"
"w0965","320"
"w0965","G"
"w0965","521"
"w0965","E"
"w0967","441"
"w0967","F"
"w0969","915"
"w0969","H"
"w0969","320"
"w0969","E"
"w0970","322"
"w0970","E"
"w0971","023"
"w0972","F"
"w0972","441"
"w0976","918"
"w0976","H"
"w0976","821"
"w0976","J"
"w0980","E"
"w0980","311"
"w0981","440"
"w0981","F"
"w0982","320"
"w0982","310"
"w0982","E"
"w0983","430"
"w0983","F"
"w0984","430"
"w0984","431"
"w0984","F"
"w0985","310"
"w0985","130"
"w0985","E"
"w0986","H"
"w0986","915"
"w0988","323"
"w0988","E"
"w0989","020"
"w0989","310"
"w0989","E"
"w0990","J"
"w0990","831"
"w0991","411"
"w0991","F"
"w0992","F"
"w0992","411"
"w0993","E"
"w0993","300"
"w0996","314"
"w0996","E"
"w0998","J"
"w0998","800"
"w0999","411"
"w0999","F"
"w1000","820"
"w1000","J"
"w1000","800"
"w10000","J5"
"w10000","J0"
"w10001","O30"
"w10001","O40"
"w10002","C78"
"w10002","I11"
"w10003","E3"
"w10003","O3"
"w10004","D2"
"w10004","H41"
"w10005","D63"
"w10005","D31"
"w10006","J23"
"w10006","E24"
"w10007","I11"
"w10007","I18"
"w10008","L3"
"w10008","I2"
"w10009","G1"
"w1001","311"
"w1001","313"
"w1001","E"
"w10010","E22"
"w10010","O47"
"w10011","I18"
"w10011","D61"
"w10012","D18"
"w10012","I18"
"w10013","G12"
"w10013","D83"
"w10014","J12"
"w10014","J16"
"w10015","F30"
"w10015","F31"
"w10016","E4"
"w10017","I1"
"w10017","J3"
"w10018","G15"
"w10018","F41"
"w10019","E52"
"w10019","E31"
"w1002","824"
"w1002","J"
"w10020","F14"
"w10020","O12"
"w10021","R2"
"w10021","J64"
"w10022","C8"
"w10022","I1"
"w10023","H62"
"w10023","E62"
"w10024","F1"
"w10025","C50"
"w10025","C10"
"w10026","G1"
"w10026","C22"
"w10027","D2"
"w10027","I1"
"w10028","R12"
"w10028","R00"
"w10029","I10"
"w1003","431"
"w1003","F"
"w10030","H55"
"w10030","J26"
"w10031","E10"
"w10031","E32"
"w10032","F3"
"w10033","I18"
"w10033","I38"
"w10034","I13"
"w10034","I12"
"w10035","N3"
"w10035","I1"
"w10036","F0"
"w10036","F33"
"w10037","O10"
"w10037","P16"
"w10038","O33"
"w10038","O31"
"w10039","F23"
"w10039","L25"
"w1004","325"
"w1004","E"
"w10040","H11"
"w10040","H61"
"w10041","G31"
"w10041","O32"
"w10042","G12"
"w10042","E43"
"w10043","H2"
"w10043","J6"
"w10044","H2"
"w10044","H4"
"w10045","I1"
"w10046","K42"
"w10046","K14"
"w10047","F31"
"w10047","F13"
"w10048","E4"
"w10048","G1"
"w10049","D2"
"w10049","L0"
"w1005","631"
"w1005","L"
"w1005","F"
"w1005","430"
"w10050","O4"
"w10050","O1"
"w10051","F3"
"w10051","F36"
"w10052","F23"
"w10052","F12"
"w10053","I12"
"w10053","I15"
"w10054","E1"
"w10054","G1"
"w10055","N52"
"w10055","Q24"
"w10056","D2"
"w10056","D8"
"w10057","P2"
"w10057","P3"
"w10058","F1"
"w10059","H22"
"w10059","H23"
"w10060","J24"
"w10060","J18"
"w10061","F31"
"w10061","F30"
"w10062","D12"
"w10062","I11"
"w10063","I0"
"w10064","O1"
"w10064","F3"
"w10065","C3"
"w10065","O3"
"w10066","I21"
"w10066","J13"
"w10067","C41"
"w10067","F23"
"w10068","J31"
"w10069","N7"
"w10069","N5"
"w1007","C"
"w1007","212"
"w10070","E5"
"w10070","G2"
"w10071","E5"
"w10071","G2"
"w10072","H62"
"w10072","H24"
"w10073","F34"
"w10073","F36"
"w10074","F31"
"w10075","N3"
"w10075","I2"
"w10076","L1"
"w10076","D8"
"w10077","O15"
"w10077","J23"
"w10078","E32"
"w10078","E22"
"w10079","L20"
"w10079","F10"
"w1008","C"
"w1008","211"
"w10080","G11"
"w10080","F30"
"w10081","B3"
"w10081","C4"
"w10082","F12"
"w10082","D23"
"w10083","J41"
"w10083","L22"
"w10084","F11"
"w10084","F10"
"w10085","E6"
"w10085","H2"
"w10086","G1"
"w10087","F1"
"w10088","J22"
"w10088","J82"
"w10089","E5"
"w10089","E4"
"w1009","440"
"w1009","420"
"w1009","F"
"w10090","Q2"
"w10091","I38"
"w10091","I28"
"w10092","I10"
"w10092","J3"
"w10093","E58"
"w10093","E52"
"w10094","D8"
"w10094","D00"
"w10095","F34"
"w10095","F33"
"w10096","H0"
"w10097","G32"
"w10097","G24"
"w10098","E2"
"w10098","J2"
"w10099","H31"
"w10099","E21"
"w1010","023"
"w10100","I1"
"w10100","J26"
"w10101","G3"
"w10102","D70"
"w10102","F02"
"w10103","J0"
"w10103","I2"
"w10104","D8"
"w10104","D3"
"w10105","D4"
"w10105","D8"
"w10106","L2"
"w10106","R3"
"w10107","G0"
"w10107","G1"
"w10108","N1"
"w10108","N0"
"w10109","E6"
"w10109","E5"
"w1011","820"
"w1011","J"
"w1011","322"
"w1011","E"
"w10110","E62"
"w10110","F42"
"w10111","C32"
"w10111","G12"
"w10112","I2"
"w10113","I28"
"w10113","H72"
"w10114","G31"
"w10114","O22"
"w10115","F3"
"w10115","G3"
"w10116","O3"
"w10117","C1"
"w10118","I2"
"w10119","H21"
"w1012","323"
"w1012","C"
"w1012","211"
"w1012","E"
"w10120","L1"
"w10120","L2"
"w10121","I3"
"w10121","C1"
"w10122","J13"
"w10122","J20"
"w10123","E52"
"w10124","R0"
"w10125","F34"
"w10125","F33"
